                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.5846,                 0.9353,                 1.0895,                0.82779,                0.80846,                0.89071,                0.47702,                 1.6146,                 1.2806,                 1.0769,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.6283,                0.95583,                 1.0859,                0.82064,                0.80688,                0.88154,                0.46921,                 1.6325,                 1.2513,                  1.083,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.5765,                0.90654,                 1.1003,                0.82064,                0.80688,                0.88154,                0.46921,                 1.6325,                 1.2513,                  1.083,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.5982,                0.91538,                 1.0973,                0.81587,                0.82088,                 0.8849,                0.46416,                 1.6548,                 1.1687,                 1.0902,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.5659,                0.89877,                 1.0788,                0.81587,                0.82088,                 0.8849,                0.46416,                 1.6548,                 1.1687,                 1.0902,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.5854,                0.91228,                 1.0835,                 0.7983,                0.83591,                0.88654,                0.46709,                 1.6418,                 1.1142,                 1.0848,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.5966,                0.92337,                 1.1039,                 0.7983,                0.83591,                0.88654,                0.46709,                 1.6418,                 1.1142,                 1.0848,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.5756,                0.91445,                 1.0555,                0.81221,                0.84919,                 0.8991,                0.48579,                  1.603,                 1.0696,                 1.0693,             0.00051177,             0.00051177,             0.00051177
                     73,                   1.54,                0.91327,                 1.1049,                0.81221,                0.84919,                 0.8991,                0.48579,                  1.603,                 1.0696,                 1.0693,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.5531,                0.87923,                 1.0887,                0.83746,                0.86568,                0.91875,                 0.5107,                 1.5649,                  1.017,                  1.059,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.5908,                0.93188,                 1.0775,                0.83746,                0.86568,                0.91875,                 0.5107,                 1.5649,                  1.017,                  1.059,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.5491,                0.88529,                 1.0862,                0.85285,                0.87638,                0.93062,                0.52596,                 1.5386,                0.97012,                 1.0528,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.5432,                0.87259,                 1.0945,                0.85285,                0.87638,                0.93062,                0.52596,                 1.5386,                0.97012,                 1.0528,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.5205,                0.87704,                 1.0719,                0.87509,                0.86271,                0.93298,                0.52935,                  1.538,                0.94945,                 1.0557,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.5591,                0.88504,                 1.0729,                0.87509,                0.86271,                0.93298,                0.52935,                  1.538,                0.94945,                 1.0557,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.5737,                0.90006,                 1.0627,                0.86661,                0.85908,                0.93028,                0.51677,                 1.5639,                0.97284,                 1.0639,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.5264,                0.87863,                 1.0651,                0.86661,                0.85908,                0.93028,                0.51677,                 1.5639,                0.97284,                 1.0639,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.5126,                0.85562,                 1.0755,                0.86911,                0.83549,                0.92805,                0.51667,                 1.5606,                0.99357,                 1.0619,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.5127,                0.85098,                 1.0876,                0.86911,                0.83549,                0.92805,                0.51667,                 1.5606,                0.99357,                 1.0619,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.5581,                 0.8781,                 1.0731,                 0.8645,                 0.8348,                0.92591,                 0.5212,                 1.5434,                 1.0044,                 1.0541,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.5331,                0.86019,                 1.0758,                 0.8645,                 0.8348,                0.92591,                 0.5212,                 1.5434,                 1.0044,                 1.0541,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.5245,                0.87432,                 1.0634,                0.85287,                0.83897,                0.92445,                0.52241,                 1.5258,                0.98277,                 1.0473,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.5482,                 0.8731,                 1.0639,                0.85287,                0.83897,                0.92445,                0.52241,                 1.5258,                0.98277,                 1.0473,             0.00026422,             0.00026422,             0.00026422
                     88,                  1.515,                0.87904,                 1.0683,                0.85573,                0.84745,                0.92947,                0.52803,                 1.5163,                0.93636,                 1.0443,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.5072,                 0.8668,                 1.0442,                0.85573,                0.84745,                0.92947,                0.52803,                 1.5163,                0.93636,                 1.0443,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.4992,                0.85756,                 1.0428,                0.86538,                0.86087,                0.93229,                0.52718,                 1.5242,                0.89917,                 1.0481,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.5078,                  0.846,                 1.0651,                0.86538,                0.86087,                0.93229,                0.52718,                 1.5242,                0.89917,                 1.0481,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.4933,                0.85416,                  1.057,                0.87772,                0.86694,                0.93654,                 0.5341,                 1.5137,                0.87105,                 1.0467,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.5385,                0.85987,                 1.0533,                0.87772,                0.86694,                0.93654,                 0.5341,                 1.5137,                0.87105,                 1.0467,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.5459,                0.86599,                 1.0534,                0.87688,                0.87507,                0.93921,                 0.5433,                 1.4914,                0.85121,                   1.04,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.4954,                0.83618,                 1.0525,                0.87688,                0.87507,                0.93921,                 0.5433,                 1.4914,                0.85121,                   1.04,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.5304,                0.86567,                 1.0384,                0.88454,                0.87671,                0.94228,                0.55072,                 1.4753,                0.84088,                 1.0355,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.4849,                0.82605,                 1.0549,                0.88454,                0.87671,                0.94228,                0.55072,                 1.4753,                0.84088,                 1.0355,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.5261,                0.87105,                 1.0379,                0.88393,                0.87582,                0.94225,                0.55264,                 1.4718,                0.83562,                 1.0349,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                  1.497,                0.82924,                 1.0643,                0.88393,                0.87582,                0.94225,                0.55264,                 1.4718,                0.83562,                 1.0349,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                 1.4744,                0.82853,                 1.0806,                0.88781,                0.88062,                0.94264,                0.55337,                 1.4712,                0.82936,                 1.0357,             4.9677e-05,             4.9677e-05,             4.9677e-05
